"2026-08-05T14:51:53.825Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","814e3583-4f9a-4bb9-9ac0-4027cf165f38","ev:google-pay:get-app-sdk-config",28.1
"2026-08-05T14:51:53.846Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","814e3583-4f9a-4bb9-9ac0-4027cf165f38","ev:google-pay:get-merchant",20.8
"2026-08-05T14:51:53.847Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","814e3583-4f9a-4bb9-9ac0-4027cf165f38","ev:google-pay:mount",50.9
"2026-08-05T14:52:01.024Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","2c8ae3c3-f632-4612-b4bf-603652fdb417","ev:google-pay:get-app-sdk-config",92.0
"2026-08-05T14:52:01.071Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","2c8ae3c3-f632-4612-b4bf-603652fdb417","ev:google-pay:get-merchant",46.0
"2026-08-05T14:52:01.072Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","2c8ae3c3-f632-4612-b4bf-603652fdb417","ev:google-pay:mount",303.0
"2026-08-05T14:52:07.878Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","2c8ae3c3-f632-4612-b4bf-603652fdb417","ev:google-pay:authorize-to-done",2053.0
"2026-08-05T14:52:07.922Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","2c8ae3c3-f632-4612-b4bf-603652fdb417","ev:google-pay:tap-to-sheet",5570.0
"2026-08-05T14:52:12.635Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","283802a2-89bd-472a-8d63-e2b5f782c196","ev:google-pay:get-app-sdk-config",44.0
"2026-08-05T14:52:12.678Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","283802a2-89bd-472a-8d63-e2b5f782c196","ev:google-pay:get-merchant",43.0
"2026-08-05T14:52:12.678Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","283802a2-89bd-472a-8d63-e2b5f782c196","ev:google-pay:mount",88.0
"2026-08-05T14:52:15.642Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","0243a3dd-6078-498a-b5a3-d6f17e652886","ev:google-pay:get-app-sdk-config",27.0
"2026-08-05T14:52:15.668Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","0243a3dd-6078-498a-b5a3-d6f17e652886","ev:google-pay:get-merchant",27.0
"2026-08-05T14:52:15.669Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","0243a3dd-6078-498a-b5a3-d6f17e652886","ev:google-pay:mount",57.0
"2026-08-05T14:52:18.535Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","988e48a9-0146-4881-b1c9-846b08c7fa9e","ev:google-pay:get-app-sdk-config",52.0
"2026-08-05T14:52:18.581Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5.2 Safari/605.1.15","988e48a9-0146-4881-b1c9-846b08c7fa9e","ev:google-pay:get-merchant",45.0
